Time,LastPrice,Volume,Bid1Price,Bid1Volume,Ask1Price,Ask1Volume,FutureAvgPrice,Traded
2023-05-08 13:53:17,6149.6,5675,6148.2,1,6149.8,1,6149.6,0
2023-05-08 13:53:18,6149.6,5675,6147.8,1,6149.8,1,6149.6,0
2023-05-08 13:53:19,6149.6,5675,6148.0,1,6149.8,1,6149.6,0
2023-05-08 13:53:19,6149.6,5675,6148.0,1,6149.6,1,6149.6,0
2023-05-08 13:53:22,6149.6,5675,6148.0,1,6149.8,1,6149.6,0
2023-05-08 13:53:23,6149.6,5675,6148.2,1,6149.8,1,6149.6,0
2023-05-08 13:53:24,6149.6,5675,6148.0,1,6149.8,1,6149.620000000001,1
2023-05-08 13:53:27,6149.6,5675,6148.0,2,6149.8,1,6149.640000000001,1
2023-05-08 13:53:29,6149.6,5675,6148.0,2,6149.8,1,6149.66,1
2023-05-08 13:53:30,6149.6,5675,6148.0,2,6149.6,1,6149.68,1
2023-05-08 13:53:32,6149.6,5675,6148.0,2,6149.8,1,6149.7,1
2023-05-08 13:53:33,6149.6,5675,6148.0,2,6149.8,2,6149.72,1
2023-05-08 13:53:33,6149.6,5675,6148.0,2,6149.6,1,6149.74,1
2023-05-08 13:53:34,6149.6,5675,6148.2,2,6149.6,1,6149.76,1
2023-05-08 13:53:34,6149.6,5675,6148.4,1,6149.8,1,6149.780000000001,1
2023-05-08 13:53:35,6149.6,5675,6148.8,2,6149.8,1,6149.800000000001,1
2023-05-08 13:53:35,6149.8,5676,6149.0,1,6150.6,1,6149.620000000001,0
2023-05-08 13:53:36,6149.8,5676,6149.8,1,6150.4,1,6149.4400000000005,0
2023-05-08 13:53:36,6149.8,5677,6148.8,1,6150.4,1,6149.24,0
2023-05-08 13:53:37,6149.8,5677,6149.0,2,6151.0,1,6149.04,0
2023-05-08 13:53:37,6149.8,5677,6149.0,2,6150.8,4,6148.840000000001,0
2023-05-08 13:53:38,6149.8,5677,6148.2,3,6150.4,1,6148.64,0
2023-05-08 13:53:38,6149.8,5677,6148.4,1,6150.0,1,6148.4,0
2023-05-08 13:53:39,6149.8,5677,6148.2,1,6149.0,1,6148.160000000001,0
2023-05-08 13:53:39,6149.8,5677,6148.0,1,6149.0,1,6147.92,0
2023-05-08 13:53:41,6149.8,5677,6148.0,1,6149.0,1,6147.679999999999,0
2023-05-08 13:53:45,6148.0,5678,6147.8,1,6149.0,1,6147.62,0
2023-05-08 13:53:47,6148.0,5678,6147.8,1,6149.0,1,6147.56,0
2023-05-08 13:53:47,6147.8,5679,6147.4,3,6148.8,1,6147.52,0
2023-05-08 13:53:48,6147.8,5679,6147.4,3,6148.6,1,6147.74,0
2023-05-08 13:53:48,6147.8,5679,6147.4,3,6148.8,1,6147.959999999999,1
2023-05-08 13:53:49,6147.8,5679,6147.4,3,6148.2,1,6148.179999999999,1
2023-05-08 13:53:50,6147.4,5680,6147.4,2,6148.8,1,6148.44,1
2023-05-08 13:53:50,6147.4,5680,6147.4,2,6148.6,1,6148.699999999999,1
2023-05-08 13:53:51,6147.4,5680,6147.4,2,6148.8,1,6148.96,1
2023-05-08 13:53:51,6147.4,5680,6147.4,2,6148.4,1,6149.219999999999,1
2023-05-08 13:53:54,6147.4,5680,6147.4,2,6148.6,1,6149.48,1
2023-05-08 13:53:57,6147.4,5680,6147.4,2,6148.6,1,6149.74,1
2023-05-08 13:53:58,6147.4,5680,6147.4,2,6149.0,1,6149.92,1
2023-05-08 13:54:00,6150.0,5683,6147.4,2,6150.0,2,6149.84,0
2023-05-08 13:54:00,6150.0,5683,6147.6,2,6149.4,1,6149.76,0
2023-05-08 13:54:01,6150.0,5683,6147.6,1,6149.2,1,6149.68,0
2023-05-08 13:54:01,6150.0,5683,6147.6,1,6149.2,1,6149.6,0
2023-05-08 13:54:02,6150.0,5683,6147.4,2,6149.2,1,6149.52,0
2023-05-08 13:54:03,6150.0,5683,6147.4,2,6149.2,1,6149.4400000000005,0
2023-05-08 13:54:04,6150.0,5683,6147.4,2,6149.0,1,6149.36,0
2023-05-08 13:54:05,6150.0,5683,6147.4,2,6149.0,1,6149.280000000001,0
2023-05-08 13:54:10,6150.0,5683,6147.4,2,6149.2,1,6149.2,0
2023-05-08 13:54:10,6149.2,5685,6147.4,1,6149.4,1,6149.2,0
2023-05-08 13:54:11,6149.2,5685,6147.4,1,6149.4,3,6149.2,0
2023-05-08 13:54:14,6149.2,5685,6147.4,1,6149.4,3,6149.2,0
2023-05-08 13:54:14,6149.2,5685,6147.4,1,6149.4,3,6149.2,0
2023-05-08 13:54:15,6149.2,5685,6147.4,1,6149.4,3,6149.2,0
2023-05-08 13:54:15,6149.2,5685,6147.4,1,6149.4,5,6149.199999999999,0
2023-05-08 13:54:17,6149.2,5685,6147.6,1,6149.2,1,6149.2,0
2023-05-08 13:54:18,6149.2,5685,6147.4,1,6149.0,1,6149.2,0
2023-05-08 13:54:18,6149.2,5685,6147.4,1,6149.0,3,6149.2,0
2023-05-08 13:54:19,6149.2,5685,6147.4,1,6148.8,1,6149.2,0
2023-05-08 13:54:19,6149.2,5685,6147.4,1,6148.8,1,6149.2,0
2023-05-08 13:54:20,6149.2,5685,6147.4,1,6149.0,1,6149.2,0
2023-05-08 13:54:20,6149.2,5685,6147.6,1,6149.0,1,6149.2,0
2023-05-08 13:54:21,6149.2,5685,6147.6,1,6149.4,3,6149.199999999999,0
2023-05-08 13:54:21,6149.2,5685,6147.6,1,6149.4,5,6149.2,0
2023-05-08 13:54:22,6149.2,5685,6147.4,1,6149.4,5,6149.2,0
2023-05-08 13:54:23,6149.2,5685,6147.4,1,6149.2,1,6149.02,0
2023-05-08 13:54:23,6149.2,5685,6147.4,1,6149.2,1,6148.84,0
2023-05-08 13:54:24,6149.2,5685,6147.4,1,6149.2,3,6148.659999999999,0
2023-05-08 13:54:25,6149.2,5685,6147.4,1,6149.0,1,6148.48,0
